County,State,Population,Lat,Long_
Alger,Michigan,9108,46.41292944,-86.60260122
Allamakee,Iowa,13687,43.28383218,-91.37860922
Allegan,Michigan,118081,42.59147037,-85.89102866
Allegany,Maryland,70416,39.62357628,-78.69280486
Allegany,New York,46091,42.25748406,-78.02750466
Alleghany,North Carolina,11137,36.49360862,-81.12857041
Alleghany,Virginia,14860,37.78636074,-80.00222498
Allegheny,Pennsylvania,1216045,40.46809875,-79.98167747
Allen,Indiana,379299,41.09194313,-85.06800636
Allen,Kansas,12369,37.88582951,-95.30030847
Allen,Kentucky,21315,36.75197631,-86.19457544
Allen,Ohio,102351,40.77285242,-84.10802343
Allendale,South Carolina,8688,32.98837386,-81.35321066
Allen,Louisiana,25627,30.65385745,-92.82442028
Alpena,Michigan,28405,45.03477666,-83.62212411
Alpine,California,1129,38.59678594,-119.82235940000001
Amador,California,39752,38.44583082,-120.65696000000001
Amelia,Virginia,13145,37.34081025,-77.98584649
Amherst,Virginia,31605,37.60308293,-79.14548696
Amite,Mississippi,12297,31.17467303,-90.80501621
Anchorage,Alaska,288000,61.14998174,-149.14269860000005
Anderson,Kansas,7858,38.21413251,-95.29272815
Anderson,Kentucky,22747,38.00671029,-84.99171713
Anderson,South Carolina,202558,34.51828081,-82.63959517
Anderson,Tennessee,76978,36.12684348,-84.19965764
Anderson,Texas,57735,31.81534745,-95.65354823
Andrew,Missouri,17712,39.98492163,-94.80163024
Andrews,Texas,18705,32.30468633,-102.63765479999999
Androscoggin,Maine,108277,44.1664747,-70.20380627
Angelina,Texas,86715,31.25457347,-94.60901487
Anne Arundel,Maryland,579234,39.00670238,-76.60329337
Anoka,Minnesota,356921,45.27476015,-93.24604565
Anson,North Carolina,24446,34.97403241,-80.09953279
Antelope,Nebraska,6298,42.17695516,-98.06662829999999
Antrim,Michigan,23324,44.99690221,-85.15503082
Apache,Arizona,71887,35.39465006,-109.4892383
Appanoose,Iowa,12426,40.74324454,-92.86865906
Appling,Georgia,18386,31.74847232,-82.28909114
Appomattox,Virginia,15911,37.37569884,-78.81340003
Aransas,Texas,23510,28.10556197,-96.9995047
Arapahoe,Colorado,656590,39.64977461,-104.3353617
Archer,Texas,8553,33.61569967,-98.68754589
Archuleta,Colorado,14029,37.19474156,-107.04768670000001
Arenac,Michigan,14883,44.0636262,-83.89277559
Arkansas,Arkansas,17486,34.29145151,-91.37277296
Arlington,Virginia,236842,38.8767675,-77.10139853
Armstrong,Pennsylvania,64735,40.81665618,-79.46290811
Armstrong,Texas,1887,34.96507426,-101.35748740000001
Aroostook,Maine,67055,46.65926321,-68.59841248
Arthur,Nebraska,463,41.56896142,-101.6959559
Ascension,Louisiana,126604,30.20406249,-90.91328409999998
Ashe,North Carolina,27203,36.43296207,-81.49862729
Ashland,Ohio,53484,40.84772277,-82.27280781
Ashland,Wisconsin,15562,46.31956891,-90.67837132
Ashley,Arkansas,19657,33.19153461,-91.76984709999999
Ashtabula,Ohio,97241,41.70860332,-80.74830218
Asotin,Washington,22582,46.18894415,-117.2022851
Assumption,Louisiana,21891,29.89946234,-91.06461642
Atascosa,Texas,51153,28.89333001,-98.52730485
Atchison,Kansas,16073,39.53185661,-95.30870026
Atchison,Missouri,5143,40.43238737,-95.42970639
Athens,Ohio,65327,39.33425634,-82.04278644
Atkinson,Georgia,8165,31.29633502,-82.87545866
Atlantic,New Jersey,263670,39.47538693,-74.65848483
Atoka,Oklahoma,13758,34.37366573,-96.03802487
Attala,Mississippi,18174,33.08658803,-89.57838564
Audrain,Missouri,25388,39.215877,-91.84242683
Audubon,Iowa,5496,41.6844628,-94.90581859
Auglaize,Ohio,45656,40.55998859,-84.22421429999999
Augusta,Virginia,75558,38.16404586,-79.12461614
Aurora,South Dakota,2751,43.71757685,-98.56050467
Austin,Texas,30032,29.88548725,-96.27736949
Autauga,Alabama,55869,32.53952745,-86.64408227
Avery,North Carolina,17557,36.07569796,-81.92308483
Avoyelles,Louisiana,40144,31.07796211,-92.00079449
Baca,Colorado,3581,37.31940883,-102.5603223
Bacon,Georgia,11164,31.55456473,-82.45936528
Bailey,Texas,7000,34.06854817,-102.8299707
Baker,Florida,29210,30.33060121,-82.28467476
Baker,Georgia,3038,31.32669878,-84.44218806
Baker,Oregon,16124,44.70915557,-117.6749883
Baldwin,Alabama,223234,30.72774991,-87.72207058
Baldwin,Georgia,44890,33.06882326,-83.24701748
Ballard,Kentucky,7888,37.05842757,-88.99427697
Baltimore city,Maryland,593490,39.30211911,-76.61151012
Baltimore,Maryland,827370,39.45784712,-76.62911955
Bamberg,South Carolina,14066,33.21927586,-81.05659969
Bandera,Texas,23112,29.74619598,-99.24598147
Banks,Georgia,19234,34.35607081,-83.49644388
Banner,Nebraska,745,41.54634427,-103.7114332
Bannock,Idaho,87808,42.67002716,-112.2233311
Baraga,Michigan,8209,46.6720582,-88.36363591
Barber,Kansas,4427,37.2288586,-98.68460053
Barbour,Alabama,24686,31.868263,-85.3871286
Barbour,West Virginia,16441,39.1307219,-80.00350858
Barnes,North Dakota,10415,46.93579637,-98.06605978
Barnstable,Massachusetts,212990,41.72980578,-70.28854339
Barnwell,South Carolina,20866,33.26679302,-81.43584352
Barren,Kentucky,44249,36.96469836,-85.93338945
Barron,Wisconsin,45244,45.42372701,-91.84833627
Barrow,Georgia,83240,33.99148694,-83.71436292
Barry,Michigan,61550,42.59513984,-85.30834519
Barry,Missouri,35789,36.70978521,-93.82919888
Bartholomew,Indiana,83779,39.20744865,-85.89558181
Barton,Kansas,25779,38.47889676,-98.75636726
Barton,Missouri,11754,37.50207671,-94.34757022
Bartow,Georgia,107738,34.23732119,-84.83887523
Bastrop,Texas,88723,30.10370699,-97.31206354
Bates,Missouri,16172,38.25271289,-94.34113157
Bath,Kentucky,12500,38.14735938,-83.74588932
Bath,Virginia,4147,38.05852573,-79.73912095
Baxter,Arkansas,41932,36.28784385,-92.33782872
Bay,Florida,174705,30.26548745,-85.62122584
Bay,Michigan,103126,43.70639106,-83.98731479
Bayfield,Wisconsin,15036,46.52868768,-91.19716729
Baylor,Texas,3509,33.61640794,-99.21352901
Beadle,South Dakota,18453,44.41464384,-98.27858469
Bear Lake,Idaho,6125,42.28269683,-111.32892379999998
Beaufort,North Carolina,46994,35.48531943,-76.84325809
Beaufort,South Carolina,192122,32.39226291,-80.72619758
Beauregard,Louisiana,37497,30.64836518,-93.34173616
Beaver,Oklahoma,5311,36.7496847,-100.4758872
Beaver,Pennsylvania,163929,40.6825484,-80.34921611
Beaver,Utah,6710,38.276917,-112.641052
Beaverhead,Montana,9453,45.13434354,-112.89846940000001
Becker,Minnesota,34423,46.93479392,-95.67158144
Beckham,Oklahoma,21859,35.26862449,-99.68128023
Bedford,Pennsylvania,47888,40.00522157,-78.48998442
Bedford,Tennessee,49713,35.51123746,-86.45549096
Bedford,Virginia,78997,37.3080028,-79.5281964
Bee,Texas,32565,28.41761668,-97.74215593
Belknap,New Hampshire,61303,43.51637314,-71.41684235
Bell,Kentucky,26032,36.73355174,-83.67766671
Bell,Texas,362924,31.03736027,-97.4785025
Belmont,Ohio,67006,40.01625942,-80.9924051
Beltrami,Minnesota,47188,47.97373527,-94.93732139
Benewah,Idaho,9298,47.21754179,-116.6586851
Ben Hill,Georgia,16700,31.76095874,-83.22145359
Bennett,South Dakota,3365,43.19486375,-101.6665572
Bennington,Vermont,35470,43.03519828,-73.09048868
Benson,North Dakota,6832,48.0683985,-99.35916363
Bent,Colorado,5577,37.95474293,-103.0720195
Benton,Arkansas,279141,36.33644656,-94.25680817
Benton,Indiana,8748,40.60626947,-87.31093999
Benton,Iowa,25645,42.08011739,-92.06463573
Benton,Minnesota,40889,45.69804958,-93.99514135
Benton,Mississippi,8259,34.81681228,-89.18945516
Benton,Missouri,19443,38.29503305,-93.28756116
Benton,Oregon,93053,44.49167306,-123.4316987
Benton,Tennessee,16160,36.07110411,-88.06849355
Benton,Washington,204390,46.23946995,-119.51208340000001
Benzie,Michigan,17766,44.63899297,-86.01608482
Bergen,New Jersey,932202,40.96010917,-74.07164325
Berkeley,South Carolina,227907,33.20222596,-79.94654523
Berkeley,West Virginia,119171,39.46704621,-78.02414609
Berks,Pennsylvania,421164,40.41570541,-75.92457766
Berkshire,Massachusetts,124944,42.37428441,-73.20524838
Bernalillo,New Mexico,679121,35.05163625,-106.6703554
Berrien,Georgia,19397,31.27590016,-83.22529920000002
Berrien,Michigan,153401,41.95447397,-86.41313079999998
Bertie,North Carolina,18947,36.0688473,-76.96545943
Bethel,Alaska,18386,60.90980451,-159.8561831
Bexar,Texas,2003554,29.44928723,-98.52019748
Bibb,Alabama,22394,32.99642064,-87.12511459999996
Bibb,Georgia,153159,32.80904227,-83.70489165
Bienville,Louisiana,13241,32.34569994,-93.05398492
Big Horn,Montana,13319,45.42335905,-107.492347
Big Horn,Wyoming,11790,44.52405055,-107.9960365
Big Stone,Minnesota,4991,45.42712824,-96.41403739
Billings,North Dakota,928,47.02366884,-103.3762965
Bingham,Idaho,46811,43.21672879999999,-112.3978437
Blackford,Indiana,11758,40.47388153,-85.32499702
Black Hawk,Iowa,131228,42.4704581,-92.30524729
Bladen,North Carolina,32722,34.61296243,-78.56180059
Blaine,Idaho,23021,43.4085812,-113.9752658
Blaine,Montana,6681,48.43175214,-108.9582723
Blaine,Nebraska,465,41.91311716,-99.97677845
Blaine,Oklahoma,9429,35.87518314,-98.43307003
Blair,Pennsylvania,121829,40.47961444,-78.34917412
Blanco,Texas,11931,30.26640707,-98.3999852
Bland,Virginia,6280,37.13128068,-81.13599391
Bleckley,Georgia,12873,32.43829035,-83.33035166
Bledsoe,Tennessee,15064,35.59942968,-85.20611967
Blount,Alabama,57826,33.98210918,-86.56790593
Blount,Tennessee,133088,35.68938198,-83.92847788
Blue Earth,Minnesota,67653,44.03554215,-94.06699781
Boise,Idaho,7831,43.98829931,-115.7309284
Bolivar,Mississippi,30628,33.79696941,-90.87372121
Bollinger,Missouri,12133,37.32449052,-90.02725304
Bond,Illinois,16426,38.88829622,-89.43534887
Bon Homme,South Dakota,6901,42.98914167,-97.88592746
Bonner,Idaho,45739,48.29996017,-116.6017932
Bonneville,Idaho,119062,43.38713372,-111.6161537
Boone,Arkansas,37432,36.3084504,-93.09374925
Boone,Illinois,53544,42.32359279,-88.82345779
Boone,Indiana,67843,40.0509304,-86.46841646
Boone,Iowa,26234,42.03657094,-93.9313999
Boone,Kentucky,133581,38.97065142,-84.72615357
Boone,Missouri,180463,38.99186229,-92.30723575
Boone,Nebraska,5192,41.70759415,-98.06737183
Boone,West Virginia,21457,38.01974191,-81.69888019
Borden,Texas,654,32.74363984,-101.43165090000001
Bosque,Texas,18685,31.89978581,-97.63613524
Bossier,Louisiana,127039,32.67932307,-93.60460152
Botetourt,Virginia,33419,37.55531756,-79.80982182
Boulder,Colorado,326196,40.09313619,-105.3546767
Boundary,Idaho,12245,48.76684761,-116.4630179
Bourbon,Kansas,14534,37.85508555,-94.84865997
Bourbon,Kentucky,19788,38.2054607,-84.21827874
Bowie,Texas,93245,33.44626922,-94.41834132
Bowman,North Dakota,3024,46.11285362,-103.5203343
Box Butte,Nebraska,10783,42.22079243,-103.08788340000001
Box Elder,Utah,56046,41.5004821,-112.8763697
Boyd,Kentucky,46718,38.36176608,-82.68652187
Boyd,Nebraska,1919,42.899727399999996,-98.76486568
Boyle,Kentucky,30060,37.62680923,-84.8633779
Bracken,Kentucky,8303,38.69158994,-84.08532444
Bradford,Florida,28201,29.95079741,-82.16611613
Bradford,Pennsylvania,60323,41.78869215,-76.51570822
Bradley,Arkansas,10763,33.46755808,-92.15980837
Bradley,Tennessee,108110,35.15739424,-84.857186
Branch,Michigan,43517,41.91600556,-85.05929476
Brantley,Georgia,19109,31.19576557,-81.97743999
Braxton,West Virginia,13957,38.70036159,-80.72011184
Brazoria,Texas,374264,29.18757369,-95.44563172
Brazos,Texas,229211,30.663644800000004,-96.30205577
Breathitt,Kentucky,12630,37.52333168,-83.31959161
Breckinridge,Kentucky,20477,37.77377239,-86.42885017
Bremer,Iowa,25062,42.77461496,-92.31795937
Brevard,Florida,601942,28.29409504,-80.73091022
Brewster,Texas,9203,29.81008251,-103.25203259999999
Briscoe,Texas,1546,34.53026962,-101.2084947
Bristol Bay,Alaska,836,58.74513976,-156.701064
Bristol,Virginia,16762,36.616302399999995,-82.16359122
Bristol,Massachusetts,565217,41.79228404,-71.10872211
Bristol,Rhode Island,48479,41.71018079,-71.28652315
Broadwater,Montana,6237,46.33277565,-111.49558130000001
Bronx,New York,1418207,40.837048,-73.865433
Brooke,West Virginia,21939,40.27367263,-80.57915332
Brookings,South Dakota,35077,44.36974375,-96.79079945
Brooks,Georgia,15457,30.83922642,-83.58303423
Brooks,Texas,7093,27.03103197,-98.21808402
Broome,New York,190488,42.15903158,-75.81326086
Broomfield,Colorado,70465,39.95998787,-105.0566324
Broward,Florida,1952778,26.15184651,-80.48725556
Brown,Illinois,6578,39.96209138,-90.75068024
Brown,Indiana,15092,39.19605589,-86.22868909
Brown,Kansas,9564,39.82652589,-95.56421698
Brown,Minnesota,25008,44.24205652,-94.72562874
Brown,Nebraska,2955,42.43018907,-99.92904055
Brown,Ohio,43432,38.93416837,-83.86788395
Brown,South Dakota,38839,45.58994323,-98.35165355
Brown,Texas,37864,31.77430356,-98.99907113
Brown,Wisconsin,264542,44.452655299999996,-88.00411844
Brule,South Dakota,5297,43.71756379,-99.08118954
Brunswick,North Carolina,142820,34.070565,-78.22814204
Brunswick,Virginia,16231,36.76366949,-77.8593436
Bryan,Georgia,39627,32.00979311,-81.44002948
Bryan,Oklahoma,47995,33.96472458,-96.25903472
Buchanan,Iowa,21175,42.4709188,-91.83510825
Buchanan,Missouri,87364,39.65816401,-94.80138942
Buchanan,Virginia,21004,37.26818323,-82.03749726
Buckingham,Virginia,17148,37.57242268,-78.52518834
Bucks,Pennsylvania,628270,40.33682119,-75.10836643
Buena Vista,Virginia,6478,37.73484642,-79.35296097
Buena Vista,Iowa,19620,42.73545875,-95.15100162
Buffalo,Nebraska,49659,40.85486962,-99.07500296
Buffalo,South Dakota,1962,44.07657829,-99.20814467
Buffalo,Wisconsin,13031,44.37835084,-91.75332578
Bullitt,Kentucky,81676,37.97162523,-85.68955617
Bulloch,Georgia,79608,32.39577406,-81.74811421
Bullock,Alabama,10101,32.10030533,-85.71265535
Buncombe,North Carolina,261191,35.61113393,-82.53305
Bureau,Illinois,32628,41.40385234,-89.5283051
Burke,Georgia,22383,33.05917989,-81.99928721
Burke,North Carolina,90485,35.74989637,-81.70755735
Burke,North Dakota,2115,48.79094471,-102.51821170000001
Burleigh,North Dakota,95626,46.97847375,-100.46452140000001
Burleson,Texas,18443,30.49273808,-96.62158484
Burlington,New Jersey,445349,39.87681124,-74.66927768
Burnet,Texas,48155,30.78801353,-98.181887
Burnett,Wisconsin,15414,45.86303537,-92.36711412
Burt,Nebraska,6459,41.85056773,-96.32605633
Butler,Alabama,19448,31.75300095,-86.68057478
Butler,Iowa,14439,42.73172833,-92.79015971
Butler,Kansas,66911,37.78134351,-96.83878537
Butler,Kentucky,12879,37.20946153,-86.68748787
Butler,Missouri,42478,36.71462476,-90.40421163
Butler,Nebraska,8016,41.22703692,-97.13106306
Butler,Ohio,383134,39.44012838,-84.57388716
Butler,Pennsylvania,187853,40.91152759,-79.91351055
Butte,California,219186,39.66727762,-121.6005252
Butte,Idaho,2597,43.72592209,-113.1735463
Butte,South Dakota,10429,44.90608745,-103.5079318
Butts,Georgia,24936,33.283094500000004,-83.95435040000002
Cabarrus,North Carolina,216453,35.3877799,-80.55267168
Cabell,West Virginia,91945,38.42424062,-82.23855912
Cache,Utah,128289,41.7493757,-111.7502191
Caddo,Oklahoma,28762,35.17364557,-98.37534464
Caddo,Louisiana,240204,32.57991587,-93.88375652
Calaveras,California,45905,38.20537103,-120.55291299999999
Calcasieu,Louisiana,203436,30.22931235,-93.35400434
Caldwell,Kentucky,12747,37.14749129,-87.86948214
Caldwell,Missouri,9020,39.65620858,-93.98308093
Caldwell,North Carolina,82178,35.95204977,-81.54799522
Caldwell,Texas,43664,29.83668859,-97.61814775
Caldwell,Louisiana,9918,32.0902519,-92.11752148
Caledonia,Vermont,29993,44.46548598,-72.10314651
Calhoun,Alabama,113605,33.77483727,-85.82630386
Calhoun,Arkansas,5189,33.55598792,-92.49974403
Calhoun,Florida,14105,30.40666734,-85.19394153
Calhoun,Georgia,6189,31.53169785,-84.62725131
Calhoun,Illinois,4739,39.16840183,-90.66330078
Calhoun,Iowa,9668,42.38521079,-94.64046046
Calhoun,Michigan,134159,42.24633834,-85.00493569
Calhoun,Mississippi,14361,33.93683395,-89.33686647
Calhoun,South Carolina,14553,33.66926881,-80.77722168
Calhoun,Texas,21290,28.47048236,-96.61633945
Calhoun,West Virginia,7109,38.84315422,-81.11934872
Callahan,Texas,13943,32.29760619,-99.37326312
Callaway,Missouri,44743,38.83674754,-91.92186505
Calloway,Kentucky,39001,36.62093411,-88.2731593
Calumet,Wisconsin,50089,44.0816316,-88.21780273
Calvert,Maryland,92525,38.53961642,-76.56820632
Camas,Idaho,1106,43.46665742,-114.8065892
Cambria,Pennsylvania,130192,40.49527404,-78.71377428
Camden,Georgia,54666,30.92951916,-81.66601818
Camden,Missouri,46305,38.02199522,-92.76083747
Camden,New Jersey,506471,39.80343818,-74.96388753
Camden,North Carolina,10867,36.33804939,-76.15568396
Cameron,Pennsylvania,4447,41.43625568,-78.20376845
Cameron,Texas,423163,26.14524221,-97.48140372
Cameron,Louisiana,6973,29.87592238,-93.19310676
Campbell,Kentucky,93584,38.94384345,-84.37875208
Campbell,South Dakota,1376,45.77074915,-100.0510181
Campbell,Tennessee,39842,36.40355516,-84.15108559999999
Campbell,Virginia,54885,37.20553386,-79.09678609
Campbell,Wyoming,46341,44.24886082,-105.54744040000001
Camp,Texas,13094,32.97195142,-94.97790104
Canadian,Oklahoma,148306,35.5426055,-97.98465569
Candler,Georgia,10803,32.40209349,-82.07702563
Cannon,Tennessee,14678,35.80990797,-86.05738983
Canyon,Idaho,229849,43.61970148,-116.70954990000001
Cape Girardeau,Missouri,78871,37.38489388,-89.6843587
Cape May,New Jersey,92039,39.15008829,-74.80170244
Carbon,Montana,10725,45.22850116,-109.0274047
Carbon,Pennsylvania,64182,40.91545395,-75.7068525
Carbon,Utah,20463,39.7410747,-110.5012696
Carbon,Wyoming,14800,41.69357844,-106.9326084
Caribou,Idaho,7155,42.77149116,-111.5597683
Carlisle,Kentucky,4760,36.85372876,-88.96692220000001
Carlton,Minnesota,35871,46.59180601,-92.67601019
Caroline,Maryland,33406,38.87172293,-75.82904158
Caroline,Virginia,30725,38.02679129,-77.34901405
Carroll,Arkansas,28380,36.34038560000001,-93.54270261
Carroll,Georgia,119992,33.58138199,-85.07976677
Carroll,Illinois,14305,42.06823429,-89.93395545
Carroll,Indiana,20257,40.580783200000006,-86.56198812
Carroll,Iowa,20165,42.03617207,-94.86032705
Carroll,Kentucky,10631,38.66599534,-85.12601074
Carroll,Maryland,168447,39.56453592,-77.02373735
Carroll,Mississippi,9947,33.44834567,-89.91994479
Carroll,Missouri,8679,39.42762566,-93.50626255
Carroll,New Hampshire,48910,43.87498583,-71.20430216
Carroll,Ohio,26914,40.578968599999996,-81.09178213
Carroll,Tennessee,27767,35.97366108,-88.45189331
Carroll,Virginia,29791,36.73066666,-80.73455942
Carson City,Nevada,55916,39.15509045,-119.7480219
Carson,Texas,5926,35.40365929,-101.35426690000001
Carter,Kentucky,26797,38.31690743,-83.05092385
Carter,Missouri,5982,36.94160441,-90.96051322
Carter,Montana,1252,45.5197966,-104.53955359999999
Carter,Oklahoma,48111,34.25103751,-97.28552485
Carter,Tennessee,56391,36.28969086,-82.12588974
Carteret,North Carolina,69473,34.8932941,-76.54120135
Carver,Minnesota,105089,44.82017001,-93.80099179999999
Cascade,Montana,81366,47.30797024,-111.3467922
Casey,Kentucky,16159,37.32533118,-84.92726209
Cass,Illinois,12147,39.96991073,-90.24734436
Cass,Indiana,37689,40.76135835,-86.34830753
Cass,Iowa,12836,41.33149454,-94.92792482
Cass,Michigan,51787,41.91522292,-85.99405727
Cass,Minnesota,29779,46.95043611,-94.32603968
Cass,Missouri,105780,38.64789422,-94.353399
Cass,Nebraska,26248,40.90899107,-96.13971217
Cass,North Dakota,181923,46.93201724,-97.24447190000001
Cass,Texas,30026,33.07499881,-94.34646905
Cassia,Idaho,24030,42.28347888,-113.6012409
Castro,Texas,7530,34.53016752,-102.2617243
Caswell,North Carolina,22604,36.39312665,-79.33353281
Catahoula,Louisiana,9494,31.66778967,-91.84526385
Catawba,North Carolina,159551,35.66211129,-81.2132617
Catoosa,Georgia,67580,34.89872298,-85.13757014
Catron,New Mexico,3527,33.91514144,-108.4046587
Cattaraugus,New York,76117,42.24778241,-78.67923096
Cavalier,North Dakota,3762,48.77286211,-98.46685243
Cayuga,New York,76576,42.91261714,-76.55731592
Cecil,Maryland,102855,39.56647682,-75.94627411
Cedar,Iowa,18627,41.77233777,-91.13246684
Cedar,Missouri,14349,37.72391475,-93.85445441
Cedar,Nebraska,8402,42.598885100000004,-97.25311951
Centre,Pennsylvania,162385,40.92058903,-77.82200624
Cerro Gordo,Iowa,42450,43.08177563,-93.2612239
Chaffee,Colorado,20356,38.74745778,-106.19265729999998
Chambers,Alabama,33254,32.91360079,-85.39072749
Chambers,Texas,43837,29.70972016,-94.67154501
Champaign,Illinois,209689,40.13919438,-88.20046615
Champaign,Ohio,38885,40.13923427,-83.76875242
Chariton,Missouri,7426,39.51499357,-92.9629191
Charles City,Virginia,6963,37.35358063,-77.05634116
Charles,Maryland,163257,38.51092331,-76.98580666
Charles Mix,South Dakota,9292,43.20660134,-98.58856175
Charleston,South Carolina,411406,32.82487866,-79.96512315
Charlevoix,Michigan,26143,45.37790017,-85.19614053
Charlotte,Florida,188910,26.90131002,-81.92949121
Charlotte,Virginia,11880,37.01909701,-78.66314092
Charlottesville,Virginia,47266,38.03527919,-78.48569588
Charlton,Georgia,13392,30.78371028,-82.13951596
Chase,Kansas,2648,38.30292938,-96.59563862
Chase,Nebraska,3924,40.523719799999995,-101.69780259999999
Chatham,Georgia,289430,32.00043026,-81.12489526
Chatham,North Carolina,74470,35.70394416,-79.25541492
Chattahoochee,Georgia,10907,32.34341231,-84.78809239
Chattooga,Georgia,24789,34.47197698,-85.34535662
Chautauqua,Kansas,3250,37.14994405,-96.2454192
Chautauqua,New York,126903,42.22769210000001,-79.36691763
Chaves,New Mexico,64615,33.36406072,-104.4665365
Cheatham,Tennessee,40667,36.26136216,-87.08903581
Cheboygan,Michigan,25276,45.44787015,-84.50122149
Chelan,Washington,77200,47.87046092,-120.6173956
Chemung,New York,83456,42.13891056,-76.7638805
Chenango,New York,47207,42.49430041,-75.60887553
Cherokee,Alabama,26196,34.17805983,-85.60638968
Cherokee,Georgia,258773,34.24393976,-84.47431861
Cherokee,Iowa,11235,42.73538914,-95.62389402
Cherokee,Kansas,19939,37.16928494,-94.8462897
Cherokee,North Carolina,28612,35.1349263,-84.05970864
Cherokee,Oklahoma,48657,35.90692775,-94.99980896
Cherokee,South Carolina,57300,35.05122251,-81.61828622
Cherokee,Texas,52646,31.837258000000002,-95.16559897
Cherry,Nebraska,5689,42.54502621,-101.1244332
Chesapeake,Virginia,244835,36.67670048,-76.30545744
Cheshire,New Hampshire,76085,42.92015988,-72.25311043
Chester,Pennsylvania,524989,39.97291773,-75.74768357
Chester,South Carolina,32244,34.69249168,-81.1583216
Chester,Tennessee,17297,35.42527478,-88.6095842
Chesterfield,South Carolina,45650,34.64137396,-80.15640140000002
Chesterfield,Virginia,352802,37.37373208,-77.58680140000001
Cheyenne,Colorado,1831,38.82777431,-102.6032558
Cheyenne,Kansas,2657,39.78580976,-101.7318201
Cheyenne,Nebraska,8910,41.21999357,-102.9941693
Chickasaw,Iowa,11933,43.06001295,-92.31773347
Chickasaw,Mississippi,17103,33.91983202,-88.9481545
Chicot,Arkansas,10118,33.26458973,-91.29539209
Childress,Texas,7306,34.529304100000004,-100.2077916
Chilton,Alabama,44428,32.85044126,-86.7173256
Chippewa,Michigan,37349,46.29552653,-84.54353449
Chippewa,Minnesota,11800,45.02343421,-95.56403693
Chippewa,Wisconsin,64658,45.06939744,-91.28068855
Chisago,Minnesota,56579,45.5021011,-92.90861945
Chittenden,Vermont,163774,44.46322849,-73.08359212
Choctaw,Alabama,12589,32.02227341,-88.26564429999998
Choctaw,Mississippi,8210,33.34598242,-89.24809382
Choctaw,Oklahoma,14672,34.02807439,-95.54771129
Chouteau,Montana,5635,47.88084126,-110.4353362
Chowan,North Carolina,13943,36.12908077,-76.60118385
Christian,Illinois,32304,39.54581621,-89.27780482
Christian,Kentucky,70461,36.89267803,-87.49055367
Christian,Missouri,88595,36.9711783,-93.18537118
Churchill,Nevada,24909,39.58105744,-118.3394607
Cibola,New Mexico,26675,34.91131525,-107.998876
Cimarron,Oklahoma,2137,36.74817177,-102.5173885
Citrus,Florida,149657,28.84804315,-82.47614748
Clackamas,Oregon,418187,45.18787398,-122.2179634
Claiborne,Mississippi,8988,31.97061673,-90.90702196
Claiborne,Tennessee,31959,36.48319149,-83.65947309
Claiborne,Louisiana,15670,32.82308512,-92.99526883
Clallam,Washington,77331,48.04754642,-123.92263190000001
Clare,Michigan,30950,43.98794227,-84.84819859999998
Clarendon,South Carolina,33745,33.66610974,-80.21647898
Clarion,Pennsylvania,38438,41.19265812,-79.42413524
Clark,Arkansas,22320,34.04613432,-93.17484713
Clark,Idaho,845,44.28496071,-112.35057040000001
Clark,Illinois,15441,39.33425789,-87.78705622
Clark,Indiana,118302,38.48015445,-85.70510334
Clark,Kansas,1994,37.23577007,-99.81883015
